"category","delivered_orders","average_delivery_days","late_delivery_rate_percentage","average_review_score"
"audio",348,13.32,12.71,3.84
"fashion_underwear_beach",117,13.71,12.60,4.05
"christmas_supplies",125,15.74,12.00,4.07
"books_technical",256,10.65,11.03,4.39
"home_confort",392,13.53,10.26,3.85
"construction_tools_lights",242,9.72,9.97,4.08
"food",441,9.56,9.82,4.26
"electronics",2517,12.89,9.75,4.07
"unknown",1392,12.79,9.37,3.94
"health_beauty",8647,11.98,9.05,4.19
"office_furniture",1254,20.84,8.93,3.51
"baby",2809,12.52,8.79,4.08
"musical_instruments",611,12.98,8.60,4.22
"furniture_decor",6307,12.88,8.43,3.95
"bed_bath_table",9272,12.81,8.40,3.92
"telephony",4093,12.86,8.33,3.99
"auto",3809,12.23,8.29,4.12
"watches_gifts",5493,12.66,8.28,4.07
"home_construction",483,13.21,8.22,3.96
"construction_tools_construction",736,10.73,8.08,4.09
"stationery",2264,12.74,8.03,4.25
"garden_tools",3448,13.71,7.97,4.08
"furniture_living_room",414,13.80,7.88,3.93
"consoles_games",1018,13.61,7.81,4.14
"computers_accessories",6529,13.23,7.77,3.99
"art",195,11.36,7.61,4.08
"industry_commerce_and_business",231,10.76,7.58,4.12
"toys",3803,11.70,7.42,4.21
"sports_leisure",7529,12.15,7.41,4.17
"perfumery",3086,11.76,7.34,4.22
"costruction_tools_garden",190,11.88,7.33,4.12
"home_appliances_2",227,13.91,6.93,4.16
"home_appliances",747,11.29,6.76,4.22
"cool_stuff",3559,12.36,6.75,4.19
"computers",177,13.51,6.53,4.22
"books_general_interest",495,11.61,6.53,4.51
"housewares",5743,10.92,6.49,4.11
"food_drink",221,10.89,6.32,4.37
"fashion_bags_accessories",1820,11.08,6.25,4.19
"pet_shop",1688,11.23,6.13,4.22
"small_appliances",609,10.78,5.93,4.23
"fashion_shoes",235,15.44,5.84,4.29
"fashion_male_clothing",106,12.95,5.60,3.76
"signaling_and_security",138,10.43,5.58,4.09
"drinks",287,10.43,5.54,4.12
"construction_tools_safety",159,11.92,5.46,3.97
"luggage_accessories",1019,10.67,5.39,4.35
"kitchen_dining_laundry_garden_furniture",241,11.88,4.38,4.03
"agro_industry_and_commerce",177,11.64,4.37,4.09
"fixed_telephony",212,12.68,4.31,3.76
"market_place",274,12.16,4.26,4.07
"air_conditioning",246,12.26,3.81,4.05
