"order_month","monthly_revenue","three_month_moving_average_revenue"
"2016-09-01",143.46,143.46
"2016-10-01",46490.66,23317.06
"2016-12-01",19.62,15551.25
"2017-01-01",127482.37,57997.55
"2017-02-01",271239.32,132913.77
"2017-03-01",414330.95,271017.55
"2017-04-01",390812.40,358794.22
"2017-05-01",566851.40,457331.58
"2017-06-01",490050.37,482571.39
"2017-07-01",566299.08,541066.95
"2017-08-01",645832.36,567393.94
"2017-09-01",701077.49,637736.31
"2017-10-01",751117.01,699342.29
"2017-11-01",1153364.20,868519.57
"2017-12-01",843078.29,915853.17
"2018-01-01",1077887.46,1024776.65
"2018-02-01",966168.41,962378.05
"2018-03-01",1120598.24,1054884.70
"2018-04-01",1132878.93,1073215.19
"2018-05-01",1128774.52,1127417.23
"2018-06-01",1011978.29,1091210.58
"2018-07-01",1027807.28,1056186.70
"2018-08-01",985491.64,1008425.74
