"customer_state","category","total_revenue","total_orders","category_rank"
"AC","sports_leisure",2071.54,9,1
"AC","furniture_decor",1746.70,7,2
"AC","health_beauty",1655.00,6,3
"AL","health_beauty",14741.33,62,1
"AL","watches_gifts",12650.16,34,2
"AL","computers_accessories",8849.85,32,3
"AM","health_beauty",3368.68,15,1
"AM","computers_accessories",2424.21,10,2
"AM","garden_tools",2267.80,5,3
"AP","computers_accessories",2322.19,6,1
"AP","watches_gifts",1846.92,7,2
"AP","health_beauty",1719.02,10,3
"BA","health_beauty",58620.07,319,1
"BA","watches_gifts",50254.70,214,2
"BA","sports_leisure",44410.84,250,3
"CE","health_beauty",37086.16,152,1
"CE","watches_gifts",32513.77,127,2
"CE","auto",14246.02,53,3
"DF","watches_gifts",35118.33,141,1
"DF","health_beauty",34177.28,219,2
"DF","computers_accessories",27109.57,133,3
"ES","watches_gifts",30645.50,142,1
"ES","bed_bath_table",26949.26,197,2
"ES","sports_leisure",23897.31,156,3
"GO","watches_gifts",34168.06,138,1
"GO","health_beauty",32926.48,206,2
"GO","bed_bath_table",27089.39,189,3
"MA","health_beauty",15461.60,82,1
"MA","computers_accessories",14479.93,59,2
"MA","watches_gifts",11663.19,56,3
"MG","health_beauty",175007.52,990,1
"MG","bed_bath_table",156483.10,1120,2
"MG","watches_gifts",132311.65,601,3
"MS","health_beauty",12739.15,57,1
"MS","housewares",12140.59,34,2
"MS","computers_accessories",11091.59,54,3
"MT","health_beauty",17743.33,83,1
"MT","watches_gifts",16398.48,59,2
"MT","auto",11719.39,49,3
"PA","health_beauty",27534.84,99,1
"PA","watches_gifts",23847.59,71,2
"PA","sports_leisure",15186.41,72,3
"PB","health_beauty",18809.85,75,1
"PB","watches_gifts",14544.56,41,2
"PB","computers_accessories",8823.91,40,3
"PE","health_beauty",48797.50,220,1
"PE","watches_gifts",35432.81,145,2
"PE","sports_leisure",22768.36,127,3
"PI","health_beauty",12268.93,50,1
"PI","auto",11760.52,27,2
"PI","watches_gifts",9043.54,38,3
"PR","sports_leisure",66641.83,420,1
"PR","watches_gifts",62382.60,266,2
"PR","health_beauty",61327.48,375,3
"RJ","watches_gifts",188264.84,789,1
"RJ","bed_bath_table",175647.96,1357,2
"RJ","health_beauty",159004.81,939,3
"RN","health_beauty",16022.37,56,1
"RN","watches_gifts",11624.73,46,2
"RN","telephony",6063.27,22,3
"RO","health_beauty",7967.86,23,1
"RO","watches_gifts",4885.98,13,2
"RO","sports_leisure",3975.11,16,3
"RR","sports_leisure",1742.92,6,1
"RR","home_appliances",1125.05,3,2
"RR","baby",994.77,1,3
"RS","bed_bath_table",72428.18,537,1
"RS","furniture_decor",66414.12,438,2
"RS","computers_accessories",61844.00,386,3
"SC","sports_leisure",48776.71,309,1
"SC","health_beauty",45482.25,282,2
"SC","computers_accessories",42087.14,260,3
"SE","health_beauty",9639.74,38,1
"SE","cool_stuff",6702.78,17,2
"SE","furniture_decor",5356.68,19,3
"SP","bed_bath_table",549061.89,4347,1
"SP","health_beauty",510255.38,3715,2
"SP","watches_gifts",448582.76,2090,3
"TO","sports_leisure",6454.31,23,1
"TO","health_beauty",6026.33,29,2
"TO","watches_gifts",5841.95,26,3
