"seller_state","seller_id","seller_city","total_revenue","total_orders","seller_rank"
"AM","327b89b872c14d1c0be7235ef4871685","manaus",1258.80,3,1
"BA","53243585a1d6dc2643021fd1853d8905","lauro de freitas",230797.02,348,1
"BA","c72de06d72748d1a0dfb2125be43ba63","guanambi",18733.18,21,2
"BA","75d34ebb1bd0bd7dde40dd507b8169c3","salvador",13969.77,57,3
"BA","d03698c2efd04a549382afa6623e27fb","ilheus",9644.62,18,4
"BA","4aba391bc3b88717ce08eb11e44937b2","arraial d'ajuda (porto seguro)",8047.44,27,5
"CE","bbf9ad41dca6603e614efcdad7aab8c4","fortaleza",8622.26,14,1
"CE","dbdd0ec73a4817971d962698f2fea022","fortaleza",8174.80,16,2
"CE","8d79c8a04e42d722a75097ce5cbcf2ef","caucaia",3347.25,26,3
"CE","c4fabeea6e569d42d02993bb1f4f1cbc","fortaleza",1136.52,11,4
"CE","21c62b998a043ebe31161d38f84929fc","fortaleza",841.33,4,5
"DF","44073f8b7e41514de3b7815dd0237f4f","brasilia",21519.49,142,1
"DF","f3b80352b986ab4d1057a4b724be19d0","brasilia",11941.36,86,2
"DF","5656537e588803a555b8eb41f07a944b","brasilia",11255.55,171,3
"DF","3c487ae8f8d7542beff5788e2e0aea83","gama",10105.35,30,4
"DF","bd0389da23d89b726abf911cccc54596","brasilia",9128.47,87,5
"ES","001cca7ae9ae17fb1caed9dfb1094831","cariacica",33142.90,195,1
"ES","33dd941c27854f7625b968cc6195a552","vila velha",7168.41,5,2
"ES","15aac934c58d886785ac1b17953ea898","muqui",5019.60,25,3
"ES","406740ee611378a662d274c7d8c43c4a","vitoria",1972.08,8,4
"ES","dd4d95ba2d15c071e6c695e2ef6ce169","cachoeiro de itapemirim",1962.41,4,5
"GO","9d5a9018aee56acb367ba9c3f05d1d6a","aparecida de goiania",11791.39,66,1
"GO","750303a20e9c56b2a6bc45cdce0b897d","goiania",9164.82,53,2
"GO","b410bdd36d5db7a65dcd42b7ead933b8","goiania",8319.71,42,3
"GO","376a891762bbdecbc02b4b6adec3fdda","goiania",7693.63,57,4
"GO","ee27a8f15b1dded4d213a468ba4eb391","goiania",6726.66,1,5
"MA","06a2c3af7b3aee5d69171b0e14f0ee87","sao luis",48169.50,389,1
"MG","a1043bafd471dff536d0c462352beb48","ilicinea",130412.74,702,1
"MG","25c5c91f63607446a97b143d2d535d31","itauna",61154.70,156,2
"MG","7299e27ed73d2ad986de7f7c77d919fa","araguari",40911.93,335,3
"MG","dbc22125167c298ef99da25668e1011f","borda da mata",40616.55,394,4
"MG","1554a68530182680ad5c8b042c3ab563","monte siao",35714.56,246,5
"MS","b1fecf4da1fa2689bccffa0121953643","campo grande",4066.72,19,1
"MS","9c068d10aca38e85c50202e17b4a7e88","coxim",3108.83,17,2
"MS","7df1fc11cc5cbc518b39faa60cf5d67c","campo grande",1171.96,5,3
"MS","515d781150feed28a6ac091bb0e3cb8c","campo grande",1154.72,6,4
"MS","7d484ca289afaac6bf5fc6a1e96d2226","campo grande",248.42,2,5
"MT","2dee2ce60de9709b1a24083217181a1f","sinop",9844.56,54,1
"MT","abcd2cb37d46c2c8fb1bf071c859fc5b","cuiaba",6121.84,44,2
"MT","99002261c568a84cce14d43fcffb43ea","cuiaba",5188.33,36,3
"MT","1e9d5a33694bddb76316fd1f54734d20","jaciara",468.94,2,4
"PA","67225bff54a172ff67579aaf583efd78","marechal candido rondon",1393.11,8,1
"PB","a6bd7d1ccdac48c6b33b28596b7eb122","mamanguape",14306.91,15,1
"PB","07017df32dc5f2f1d2801e579548d620","joao pessoa",1128.24,8,2
"PB","d0d70d21e2234dd7cd3cf63fe414148a","sao bento",964.99,8,3
"PB","fd435faa3c0422b60440ea3480d0e77c","joao pessoa",882.87,1,4
"PB","24c1de8d9551c0b4fbc53317d53efda8","serra redonda",412.12,1,5
"PE","de722cd6dad950a92b7d4f82673f8833","recife",64776.59,337,1
"PE","40db9e9aa57f7bb151bcda6b0f9bdbb7","recife",23823.99,12,2
"PE","e49c26c3edfa46d227d5121a6b6e4d37","brejao",4765.66,34,3
"PE","1d0997ff06b524ce9289ffd75114ecd3","recife",3873.57,3,4
"PE","78744a20ee2f80ba64f6804c25def2b8","recife",3068.85,6,5
"PI","47efca563408aae19bb7206c2d969ea9","teresina",2791.55,11,1
"PR","ccc4bbb5f32a6ab2b7066a4130f114e3","curitiba",78101.34,184,1
"PR","522620dcb18a6b31cd7bdf73665113a9","cascavel",61273.66,172,2
"PR","77530e9772f57a62c906e1c21538ab82","curitiba",53951.31,312,3
"PR","c3cfdc648177fdbbbb35635a37472c53","curitiba",49127.81,278,4
"PR","0241d4d5d36f10f80c644447315af0bd","curitiba",38251.61,238,5
"RJ","46dc3b2cc0980fb8ec44634e21d2718e","rio de janeiro",134162.88,503,1
