"seller_id","seller_revenue","revenue_rank","revenue_percentage"
"4869f7a5dfa277a7dca6462dcf3b52b2",247007.06,1,1.60
"7c67e1448b00f6e969d365cea6b010ab",237806.69,2,1.54
"4a3ca9315b744ce9f8e9374361493884",231220.43,3,1.50
"53243585a1d6dc2643021fd1853d8905",230797.02,4,1.50
"fa1c13f2614d7b5c4749cbc52fecda94",200833.50,5,1.30
"da8622b14eb17ae2831f4ac5b9dab84a",184706.78,6,1.20
"7e93a43ef30c4f03f38b393420bc753a",171973.55,7,1.12
"1025f0e2d44d7041d6cf58b6550e0bfa",171924.96,8,1.11
"7a67c85e85bb2ce8582c35f2203ad736",160278.52,9,1.04
"955fee9216a65b617aa5c0531780ce60",156606.48,10,1.02
"6560211a19b47992c3666cc44a7e94c0",148050.94,11,0.96
"1f50f920176fa81dab994f9023523100",141712.94,12,0.92
"46dc3b2cc0980fb8ec44634e21d2718e",134162.88,13,0.87
"a1043bafd471dff536d0c462352beb48",130412.74,14,0.85
"620c87c171fb2a6dd6e8bb4dec959fc6",126278.18,15,0.82
"cc419e0650a3c5ba77189a1882b7556a",125936.99,16,0.82
"5dceca129747e92ff8ef7a997dc4f8ca",124702.92,17,0.81
"7d13fca15225358621be4086e1eb0964",120934.47,18,0.78
"3d871de0142ce09b7081e2b9d1733cb1",115515.65,19,0.75
"edb1ef5e36e0c8cd84eb3c9b003e486d",83031.14,20,0.54
