"customer_city","customer_state","total_orders","unique_customers","total_revenue"
"sao paulo","SP",15045,14528,2107960.17
"rio de janeiro","RJ",6601,6361,1111732.21
"belo horizonte","MG",2697,2606,405950.51
"brasilia","DF",2071,2013,345199.05
"curitiba","PR",1489,1434,238459.72
"porto alegre","RS",1342,1292,214805.84
"campinas","SP",1406,1363,209002.90
"salvador","BA",1188,1154,207713.30
"guarulhos","SP",1144,1111,157735.65
"niteroi","RJ",825,788,135447.96
"sao bernardo do campo","SP",911,881,116784.58
"goiania","GO",660,641,113301.29
"fortaleza","CE",618,609,112951.55
"santos","SP",700,680,111170.11
"recife","PE",593,571,104795.50
"santo andre","SP",777,750,101772.63
"florianopolis","SC",556,535,97853.16
"belem","PA",428,418,92919.26
"osasco","SP",724,697,92448.68
"jundiai","SP",549,532,90313.88
