"category","total_orders","total_items_sold","unique_products","unique_sellers","total_revenue","average_item_price","average_review_score"
"health_beauty",8836,9670,2444,492,1441248.07,130.16,4.14
"watches_gifts",5624,5991,1329,101,1305541.61,201.14,4.02
"bed_bath_table",9417,11115,3029,196,1241681.72,93.30,3.90
"sports_leisure",7720,8641,2867,481,1156656.48,114.34,4.11
"computers_accessories",6689,7827,1639,287,1059272.40,116.51,3.93
"furniture_decor",6449,8334,2657,370,902511.79,87.56,3.91
"housewares",5884,6964,2335,468,778397.77,90.79,4.05
"cool_stuff",3632,3796,789,267,719329.95,167.36,4.15
"auto",3897,4235,1900,383,685384.32,139.96,4.06
"garden_tools",3518,4347,753,237,584219.21,111.63,4.05
"toys",3886,4117,1411,252,561372.55,117.55,4.16
"baby",2885,3065,919,244,480118.00,134.34,4.01
"perfumery",3162,3419,868,175,453338.71,116.74,4.17
"telephony",4199,4545,1134,149,394883.32,71.21,3.95
"office_furniture",1273,1691,309,34,342532.65,162.01,3.49
"stationery",2311,2517,849,173,277741.71,91.75,4.20
"pet_shop",1710,1947,719,137,253876.65,110.07,4.18
"computers",181,203,30,9,232799.43,1098.34,4.18
"musical_instruments",628,680,289,70,210137.37,281.62,4.15
"unknown",1451,1603,610,257,207705.09,112.00,3.84
