"seller_id","seller_city","seller_state","total_orders","total_items_sold","unique_products_sold","total_revenue","average_review_score"
"4869f7a5dfa277a7dca6462dcf3b52b2","guariba","SP",1124,1148,94,247007.06,4.14
"7c67e1448b00f6e969d365cea6b010ab","itaquaquecetuba","SP",973,1355,197,237806.69,3.35
"4a3ca9315b744ce9f8e9374361493884","ibitinga","SP",1772,1949,394,231220.43,3.83
"53243585a1d6dc2643021fd1853d8905","lauro de freitas","BA",348,400,23,230797.02,4.13
"fa1c13f2614d7b5c4749cbc52fecda94","sumare","SP",578,579,284,200833.50,4.37
"da8622b14eb17ae2831f4ac5b9dab84a","piracicaba","SP",1311,1548,221,184706.78,4.07
"7e93a43ef30c4f03f38b393420bc753a","barueri","SP",319,322,175,171973.55,4.36
"1025f0e2d44d7041d6cf58b6550e0bfa","sao paulo","SP",910,1420,153,171924.96,3.87
"7a67c85e85bb2ce8582c35f2203ad736","sao paulo","SP",1145,1155,146,160278.52,4.27
"955fee9216a65b617aa5c0531780ce60","sao paulo","SP",1261,1472,103,156606.48,4.09
"6560211a19b47992c3666cc44a7e94c0","sao paulo","SP",1819,1996,254,148050.94,3.95
"1f50f920176fa81dab994f9023523100","sao jose do rio preto","SP",1399,1926,23,141712.94,3.99
"46dc3b2cc0980fb8ec44634e21d2718e","rio de janeiro","RJ",503,523,183,134162.88,4.26
"a1043bafd471dff536d0c462352beb48","ilicinea","MG",702,752,6,130412.74,4.25
"620c87c171fb2a6dd6e8bb4dec959fc6","petropolis","RJ",722,778,124,126278.18,4.27
"cc419e0650a3c5ba77189a1882b7556a","santo andre","SP",1651,1719,37,125936.99,4.14
"5dceca129747e92ff8ef7a997dc4f8ca","santa barbara d´oeste","SP",322,343,47,124702.92,4.02
"7d13fca15225358621be4086e1eb0964","ribeirao preto","SP",558,571,57,120934.47,4.02
"3d871de0142ce09b7081e2b9d1733cb1","campo limpo paulista","SP",1064,1131,202,115515.65,4.15
"edb1ef5e36e0c8cd84eb3c9b003e486d","teresopolis","RJ",165,174,55,83031.14,4.45
