"order_month","total_orders","monthly_revenue","average_order_value","average_review_score","average_delivery_days","late_delivery_rate_percentage"
"2016-09-01",1,143.46,143.46,1.00,54.81,100.00
"2016-10-01",265,46490.66,175.44,4.01,19.60,1.13
"2016-12-01",1,19.62,19.62,5.00,4.69,0.00
"2017-01-01",750,127482.37,169.98,4.20,12.65,3.07
"2017-02-01",1653,271239.32,164.09,4.20,13.17,3.21
"2017-03-01",2546,414330.95,162.74,4.19,12.95,5.58
"2017-04-01",2303,390812.40,169.70,4.14,14.92,7.86
"2017-05-01",3546,566851.40,159.86,4.24,11.32,3.61
"2017-06-01",3135,490050.37,156.32,4.22,12.01,3.86
"2017-07-01",3872,566299.08,146.25,4.26,11.59,3.43
"2017-08-01",4193,645832.36,154.03,4.31,11.15,3.32
"2017-09-01",4150,701077.49,168.93,4.27,11.85,5.20
"2017-10-01",4478,751117.01,167.73,4.21,11.86,5.29
"2017-11-01",7289,1153364.20,158.23,3.99,15.16,14.31
"2017-12-01",5513,843078.29,152.93,4.09,15.39,8.38
"2018-01-01",7069,1077887.46,152.48,4.11,14.08,6.56
"2018-02-01",6555,966168.41,147.39,3.88,16.95,15.99
"2018-03-01",7003,1120598.24,160.02,3.81,16.30,21.36
"2018-04-01",6798,1132878.93,166.65,4.21,11.50,5.31
"2018-05-01",6749,1128774.52,167.25,4.24,11.42,8.24
"2018-06-01",6099,1011978.29,165.93,4.31,9.24,1.36
"2018-07-01",6159,1027807.28,166.88,4.32,8.96,4.48
"2018-08-01",6351,985491.64,155.17,4.31,7.73,10.39
