"seller_id","seller_city","seller_state","total_orders","total_items_sold","unique_products_sold","total_product_revenue","total_freight_value","total_revenue","average_review_score"
"0015a82c2db000af6aaaf3ae2ecb0532","santo andre","SP",3,3,1,2685.00,63.06,2748.06,3.67
"001cca7ae9ae17fb1caed9dfb1094831","cariacica","ES",200,239,11,25080.03,8854.14,33934.17,3.90
"001e6ad469a905060d959994f1b41e4f","sao goncalo","RJ",1,1,1,250.00,17.94,267.94,1.00
"002100f778ceb8431b7a1020ff7ab48f","franca","SP",51,55,24,1234.50,793.66,2028.16,3.98
"003554e2dce176b5555353e4f3555ac8","goiania","GO",1,1,1,120.00,19.38,139.38,5.00
"004c9cd9d87a3c30c522c48c4fc07416","ibitinga","SP",158,170,88,19712.71,3551.23,23263.94,4.14
"00720abe85ba0859807595bbf045a33b","guarulhos","SP",13,26,9,1007.50,315.98,1323.48,3.65
"00ab3eff1b5192e5f1a63bcecfee11c8","sao paulo","SP",1,1,1,98.00,12.08,110.08,5.00
"00d8b143d12632bad99c0ad66ad52825","belo horizonte","MG",1,1,1,86.00,51.10,137.10,5.00
"00ee68308b45bc5e2660cd833c3f81cc","sao paulo","SP",135,172,23,20260.00,3180.66,23440.66,4.33
"00fc707aaaad2d31347cf883cd2dfe10","maringa","PR",103,135,19,12684.90,2285.09,14969.99,3.79
"010543a62bd80aa422851e79a3bc7540","sao paulo","SP",2,2,1,1416.00,31.95,1447.95,4.50
"010da0602d7774602cd1b3f5fb7b709e","sao bernardo do campo","SP",1,5,1,849.50,230.25,1079.75,1.00
"011b0eaba87386a2ae96a7d32bb531d1","pompeia","SP",1,2,1,99.98,29.18,129.16,4.00
"01266d4c46afa519678d16a8b683d325","curitiba","PR",3,3,3,90.25,47.23,137.48,5.00
"013900e863eace745d3ec7614cab5b1a","curitiba","PR",23,26,19,1619.70,469.67,2089.37,4.73
"014c0679dd340a0e338872e7ec85666a","timoteo","MG",14,15,10,7058.00,628.31,7686.31,3.67
"014d9a685fd57276679edd00e07089e5","maringa","PR",11,12,3,729.88,146.93,876.81,3.83
"0176f73cc1195f367f7b32db1e5b3aa8","ibitinga","SP",38,39,18,4733.10,1287.01,6020.11,4.03
"01bcc9d254a0143f0ce9791b960b2a47","uruacu","GO",11,11,3,1521.21,277.66,1798.87,4.40
"01c97ebb5cdac52891c0ed1c37ba0012","catanduva","SP",9,12,3,577.50,178.50,756.00,4.08
"01cf7e3d21494c41fb86034f2e714fa1","francisco beltrao","PR",61,67,21,9729.36,2008.82,11738.18,4.21
"01ed254b9ff8407dfb9d99ba1e17d923","mogi das cruzes","SP",5,5,2,1465.99,67.72,1533.71,5.00
"01fd077212124329bac32490e8ef80d9","ribeirao preto / sao paulo","SP",31,39,12,1208.00,575.36,1783.36,4.31
"01fdefa7697d26ad920e9e0346d4bd1b","londrina","PR",129,131,21,14921.43,2768.64,17690.07,4.35
"0241d4d5d36f10f80c644447315af0bd","curitiba","PR",238,246,56,31397.70,6853.91,38251.61,4.31
"0249d282d911d23cb8b869ab49c99f53","sao paulo","SP",11,11,4,393.00,138.88,531.88,4.27
"024b564ae893ce8e9bfa02c10a401ece","sao paulo","SP",2,8,2,706.40,212.00,918.40,4.75
"028872bfa080090a9d0abd4f1af168f8","ribeirao das neves","MG",1,3,1,70.50,47.37,117.87,5.00
"02a2272692e13558373c66db98f05e2e","rio de janeiro","RJ",2,2,2,54.98,38.87,93.85,3.00
"02b72cdeb9cfcc429f1af6f4e3f3b737","ibitinga","SP",4,4,3,522.65,225.99,748.64,4.75
"02c988090b766852e088c69d7fb3b551","americana","SP",13,17,11,1618.65,218.30,1836.95,4.69
"02d35243ea2e497335cd0f076b45675d","natal","RN",14,16,3,5794.00,605.95,6399.95,2.69
"02dcd3e8e25bee036e32512bcf175493","contagem","MG",14,17,7,1491.90,312.17,1804.07,3.59
"02ecc2a19303f05e59ce133fd923fff7","santo andre","SP",21,24,17,5264.19,478.21,5742.40,4.54
"02f5837340d7eb4f653d676c7256523a","curitiba","PR",30,30,3,3883.05,580.83,4463.88,4.83
"02f623a8eb246f3c5f7c2f96462654e6","botucatu","SP",44,44,23,6378.00,829.63,7207.63,4.56
"0307f7565ff85b299b6e5ef162b1b1a9","sao jose do rio preto","SP",7,7,6,4728.80,274.77,5003.57,3.14
